war_id,conflict_id
50,0
84,1
70,2
18,3
128,4
103,5
90,6
71,7
21,8
3,9
72,10
101,11
26,12
106,13
22,14
83,15
53,16
88,17
7,18
74,19
10,20
8,21
102,22
107,23
100,24
13,25
75,26
9,27
76,28
95,29
44,30
2,31
78,32
89,33
96,34
79,35
125,36
97,37
129,38
82,39
130,40
86,41
80,42
87,43
17,44
111,45
113,46
112,47
118,48
47,49
91,50
25,51
114,52
31,53
12,54
43,55
92,56
28,57
81,58
104,59
32,60
117,61
33,62
69,63
105,64
124,65
123,66
116,67
20,68
122,69
121,70
119,71
94,72
109,73
99,74
11,75
126,76
16,77
93,78
36,79
55,80
98,81
93,82
45,83
19,84
85,85
14,86
27,87
24,88
6,89
49,90
48,91
54,92
51,93
42,94
15,95
23,96
30,97
108,98
1,99
5,100
131,101
