id,name,year_birth,year_death,family,title
1,Victoria Hanover,1819.0,1901.0,Hanover,Queen of Britain
2,Albert Augustus Saxe-Coburg-Gotha,1819.0,1861.0,Saxe-Coburg-Gotha,Prince Saxe-Coburg-Gotha
3,Victoria Adelaide MaryWettin,1840.0,1901.0,MaryWettin,Princess Royal
4,Edward VII Wettin,1841.0,1910.0,Wettin,King of Britain
5,Alice Maud MaryWettin,1843.0,1878.0,MaryWettin,Princess
6,Alfred Ernest AlbertWettin,1844.0,1900.0,AlbertWettin,Duke of Edinburgh
7,Helena Augusta VictoriaWettin,1846.0,1923.0,VictoriaWettin,Princess
8,Louise Caroline AlbertaWettin,1848.0,1939.0,AlbertaWettin,Princess
9,Arthur William PatrickWettin,1850.0,1942.0,PatrickWettin,Duke Connaught&Strathearn
10,Leopold George Duncan AlbertWettin,1853.0,1884.0,AlbertWettin,Duke of Albany
11,Beatrice Mary Victoria FeodoraWettin,1857.0,1944.0,FeodoraWettin,Princess
12,"Alexandra of Denmark ""Alix""Schleswig",1844.0,1925.0,"""Alix""Schleswig",Princess
13,Albert Victor ChristianWettin,1864.0,1892.0,ChristianWettin,Duke of Clarence
14,George V Windsor,1865.0,1936.0,Windsor,King of Britain
15,Louise Victoria AlexandraWindsor,1867.0,1931.0,AlexandraWindsor,Princess Royal
16,Victoria Alexandra Olga MaryWindsor,1868.0,1935.0,MaryWindsor,Princess
17,Maud Charlotte Mary VictoriaWindsor,1869.0,1938.0,VictoriaWindsor,Princess
18,John Alexander Wettin,1871.0,1871.0,Wettin,Prince
19,George II Victor ofWaldeck-Pyrmont,1831.0,1893.0,ofWaldeck-Pyrmont,Prince of Waldeck&Pyrmont
20,Frederick III of GermanyHohenzollern,1831.0,1888.0,GermanyHohenzollern,German Emperor
21,William II of GermanyHohenzollern,1859.0,1941.0,GermanyHohenzollern,German Emperor. Kaiser
22,Louis IV von Hessen-Darmstadt,1837.0,1892.0,Hessen-Darmstadt,Grand Duke of Hesse
23,Helena Frederica ofWaldeck-Pyrmont,1861.0,1922.0,ofWaldeck-Pyrmont,Princess
24,Alice Mary Victoria of AlbanyWettin,1883.0,1981.0,AlbanyWettin,Princess
25,Henry Maurice von Battenberg,1858.0,1896.0,Battenberg,Prince of Battenberg
26,Alexander of CarisbrookeMountbatten,1886.0,1960.0,CarisbrookeMountbatten,Marquess of Carisbrooke
27,"Victoria Eugenie ""Ena""von Battenburg",1887.0,1969.0,Battenburg,Queen of Spain
28,Leopold Arthur LouisMountbatten,1889.0,1922.0,LouisMountbatten,Lord Mountbatten
29,Maurice Victor Donaldvon Battenberg,1891.0,1914.0,Battenberg,Prince
30,Mary (May) von Teck,1867.0,1953.0,Teck,Queen of Britain
31,Edward VIII Windsor,1894.0,1972.0,Windsor,King of Britain
