C1,C2,Year,HRE,GC,NGC,Spain,Austria,War ID
248,220,1912,0,0,0,0,0,1
248,240,1912,0,0,0,0,0,1
248,250,1912,0,0,0,0,0,1
248,220,1913,0,0,0,0,0,1
248,240,1913,0,0,0,0,0,1
248,250,1913,0,0,0,0,0,1
177,304,1562,0,0,0,0,0,2
177,304,1563,0,0,0,0,0,2
375,291,1521,0,0,0,0,0,3
375,291,1522,0,0,0,0,0,3
375,291,1523,0,0,0,0,0,3
375,291,1524,0,0,0,0,0,3
375,291,1525,0,0,0,0,0,3
304,379,1521,0,0,0,0,0,4
304,375,1521,0,0,0,0,0,4
304,379,1522,0,0,0,0,0,4
304,375,1522,0,0,0,0,0,4
304,379,1523,0,0,0,0,0,4
304,375,1523,0,0,0,0,0,4
304,379,1524,0,0,0,0,0,4
304,375,1524,0,0,0,0,0,4
304,379,1525,0,0,0,0,0,4
304,375,1525,0,0,0,0,0,4
304,379,1526,0,0,0,0,0,4
304,375,1526,0,0,0,0,0,4
248,220,1913,0,0,0,0,0,5
248,240,1913,0,0,0,0,0,5
248,82,1913,0,0,0,0,0,5
304,888,1856,0,0,0,0,0,6
177,888,1856,0,0,0,0,0,6
304,888,1857,0,0,0,0,0,6
177,888,1857,0,0,0,0,0,6
304,888,1858,0,0,0,0,0,6
177,888,1858,0,0,0,0,0,6
304,888,1859,0,0,0,0,0,6
177,888,1859,0,0,0,0,0,6
304,888,1860,0,0,0,0,0,6
177,888,1860,0,0,0,0,0,6
379,304,1536,0,0,0,0,0,7
375,304,1536,0,0,0,0,0,7
379,304,1537,0,0,0,0,0,7
375,304,1537,0,0,0,0,0,7
379,304,1538,0,0,0,0,0,7
375,304,1538,0,0,0,0,0,7
379,304,1542,0,0,0,0,0,8
375,304,1542,0,0,0,0,0,8
379,304,1543,0,0,0,0,0,8
375,304,1543,0,0,0,0,0,8
379,304,1544,0,0,0,0,0,8
375,304,1544,0,0,0,0,0,8
379,304,1552,1,0,0,0,0,9
375,56,1552,1,0,0,0,0,9
375,304,1552,1,0,0,0,0,9
379,56,1552,1,0,0,0,0,9
216,304,1552,1,0,0,0,0,9
216,56,1552,1,0,0,0,0,9
379,304,1553,1,0,0,0,0,9
375,56,1553,1,0,0,0,0,9
375,304,1553,1,0,0,0,0,9
379,56,1553,1,0,0,0,0,9
216,304,1553,1,0,0,0,0,9
216,56,1553,1,0,0,0,0,9
379,304,1554,1,0,0,0,0,9
375,56,1554,1,0,0,0,0,9
375,304,1554,1,0,0,0,0,9
379,56,1554,1,0,0,0,0,9
216,304,1554,1,0,0,0,0,9
216,56,1554,1,0,0,0,0,9
379,304,1555,1,0,0,0,0,9
375,56,1555,1,0,0,0,0,9
375,304,1555,1,0,0,0,0,9
379,56,1555,1,0,0,0,0,9
216,304,1555,1,0,0,0,0,9
216,56,1555,1,0,0,0,0,9
379,304,1556,1,0,0,0,0,9
375,304,1556,1,0,0,0,0,9
216,304,1556,1,0,0,0,0,9
379,304,1557,1,0,0,0,0,9
375,304,1557,1,0,0,0,0,9
177,304,1557,1,0,0,0,0,9
216,304,1557,1,0,0,0,0,9
379,304,1558,1,0,0,0,0,9
375,304,1558,1,0,0,0,0,9
177,304,1558,1,0,0,0,0,9
216,304,1558,1,0,0,0,0,9
379,304,1559,1,0,0,0,0,9
375,304,1559,1,0,0,0,0,9
177,304,1559,1,0,0,0,0,9
216,304,1559,1,0,0,0,0,9
375,888,1541,0,0,0,0,0,10
177,304,1778,0,0,0,0,0,11
177,375,1779,0,0,0,0,0,11
177,304,1779,0,0,0,0,0,11
177,304,1779,0,0,0,0,0,11
