Person ID,Birth Year,Death Year
1,1819,1901
2,1819,1861
3,1840,1901
4,1841,1910
5,1843,1878
6,1844,1900
7,1846,1923
8,1848,1939
9,1850,1942
10,1853,1884
11,1857,1944
12,1844,1925
13,1864,1892
14,1865,1936
15,1867,1931
16,1868,1935
17,1869,1938
18,1871,1871
19,1831,1893
20,1831,1888
21,1859,1941
22,1837,1892
23,1861,1922
24,1883,1981
25,1858,1896
26,1886,1960
27,1887,1969
28,1889,1922
29,1891,1914
30,1867,1953
31,1894,1972
32,1895,1952
33,1897,1965
34,1900,1974
35,1902,1942
36,1905,1919
37,1868,1918
38,1863,1950
39,1872,1918
40,1845,1894
41,1847,1928
42,1796,1855
43,1798,1860
44,1818,1881
45,1824,1880
46,1895,1918
47,1897,1918
48,1899,1918
49,1901,1918
50,1904,1918
51,1900,2002
52,1926,
53,1930,2002
54,1930,
55,1961,
56,1964,
57,1921,
58,1948,
59,1950,
60,1960,
61,1964,
62,1948,
63,1977,
64,1981,
65,1961,1997
66,1906,1968
67,1935,
68,1882,1947
69,1901,2004
70,1896,1986
71,1872,1957
72,1862,1929
73,1864,1866
74,1866,1929
75,1868,1879
76,1870,1932
77,1860,1919
78,1872,1954
79,1866,1953
80,1889,1945
81,1900,1904
82,1896,1978
83,1868,1937
84,1864,1918
85,1874,1878
86,1870,1873
87,1941,1972
88,1944,
89,1946,
90,1974,
91,1888,1950
92,1897,1958
93,1936,2004
94,1853,1920
95,1874,1899
96,1875,1938
97,1876,1936
98,1878,1942
99,1884,1966
100,1854,1921
101,1885,1969
102,1892,1938
103,1900,1979
104,1882,1944
105,1849,1912
106,1936,
107,1942,
108,1928,2004
109,1964,
110,1966,
111,1933,
112,1962,
113,1964,
114,1970,
115,1982,
116,1984,
117,1831,1917
118,1872,1956
119,1864,1933
120,1860,1917
121,1882,1920
122,1883,1938
123,1886,1974
124,1882,1973
125,1891,1959
126,1881,1972
127,1292,1358
129,1884,1954
130,1738,1820
131,1744,1818
132,1774,1850
133,1767,1820
134,1797,1889
135,1822,1916
136,1833,1897
137,1837,1900
138,1786,1861
139,1784,1844
140,1800,1831
141,1762,1830
142,1756,1837
143,1768,1821
144,1796,1817
145,1855,1944
146,1862,1938
147,1905,1981
148,1906,1969
149,1847,1909
150,1850,1908
151,1857,1905
152,1860,1919
153,1871,1899
154,1875,1960
155,1878,1918
156,1882,1960
157,1854,1920
158,1876,1938
159,1877,1943
160,1879,1956
161,1872,1971
162,1770,1840
163,1870,1891
164,1891,1942
165,1850,1918
166,1895,1970
167,1887,1967
168,1959,
169,1931,2003
170,1937,
171,1869,1896
172,1869,1929
173,1882,1893
174,1883,1961
175,1884,1949
176,1886,1930
177,1887,1911
178,1889,1915
179,1890,1967
180,1893,1953
181,1902,1961
182,1824,1904
183,1832,1922
184,1773,1846
185,1783,1811
186,1822,1865
187,1737,1776
188,1748,1800
189,1769,1820
190,1747,1810
191,1869,1955
192,1888,1946
193,1889,1966
194,1890,1959
195,1880,1953
196,1899,1959
197,1907,1996
198,1528,1572
199,1828,1885
200,1837,1906
201,1845,1914
202,1763,1827
203,1765,1837
204,1766,1828
205,1785,1851
206,1799,1860
207,1817,1865
208,1832,1918
209,1768,1840
210,1770,1840
211,1769,1829
212,1771,1851
213,1773,1843
214,1776,1857
215,1777,1848
216,1779,1783
217,1780,1782
218,1783,1810
219,1792,1849
220,1819,1819
221,1820,1821
222,1822,1822
223,1824,1824
224,1852,1923
225,1818,1906
226,1817,1898
227,1845,1913
228,1851,1926
229,1872,1938
230,1913,
231,1904,1974
232,1901,1964
233,1896,1982
234,1893,1920
235,1895,1945
238,1889,1965
239,1924,1992
240,1955,
241,1957,
242,1964,
243,1929,
244,1923,
245,1812,1850
246,1719,1790
247,1754,1816
248,1778,1841
249,1819,1878
250,1818,1907
251,1845,1923
252,1848,1926
253,1849,1904
254,1853,1933
255,1879,1948
256,1880,1912
257,1882,1963
258,1884,1958
259,1885,1901
260,1894,
261,1843,1932
262,1819,1904
263,1815,1890
264,1843,1907
265,1846,1922
266,1847,1933
267,1854,1927
268,1892,1960
269,1886,
270,1889,1954
271,1819,1904
272,1848,1914
273,1857,1933
274,1882,1918
275,1888,1908
276,1878,1948
277,1880,1946
278,1868,1927
279,1870,1910
280,1874,1957
281,1873,1929
282,1895,1981
283,1907,1940
284,1897,1987
285,1899,1969
286,1284,1327
287,1907,1928
288,1910,1910
289,1906,1994
290,1776,1834
291,1924,
292,1926,
293,1950,
294,1953,
295,1955,
296,1919,
297,1953,
298,1787,1867
299,1789,1864
300,1820,1884
301,1747,1837
302,1762,1823
303,1804,1885
304,1812,1841
305,1836,1894
306,1838,1893
307,1835,1897
308,1872,1912
309,1865,1927
310,1867,1900
311,1869,1931
312,1870,1948
313,1876,1876
314,1926,
315,1964,
316,1924,
317,1977,
318,1980,
319,1945,
320,1979,
321,1683,1760
322,1683,1737
323,1707,1751
324,1709,1759
325,1711,1786
326,1713,1759
327,1716,1716
328,1717,1718
329,1721,1765
330,1723,1772
331,1724,1751
332,1719,1772
333,1737,1813
334,1739,1767
335,1740,1759
336,1743,1805
337,1745,1790
338,1749,1768
339,1750,1765
340,1751,1775
341,1660,1727
342,1666,1726
343,1687,1757
344,1723,1766
345,1785,1831
346,1789,1867
347,1823,1888
348,1825,1895
349,1777,1848
350,1788,1836
351,1775,1830
352,1790,1831
353,1827,1892
354,1830,1911
355,1789,1868
356,1799,1848
357,1809,1877
358,1815,1885
360,1780,1826
361,1788,1875
362,1799,1867
363,1806,1881
364,1794,1863
365,
366,1892,1975
367,1897,1972
368,1885,1955
369,1908,1993
370,1851,1920
371,1857,1947
372,1819,1911
373,1831,1877
374,1785,1848
375,1802,1863
376,
377,
378,1815,1874
379,1821,1897
380,1791,1850
381,,1893
382,,1855
383,,1862
384,1869,1953
385,1869,1958
386,1838,1913
387,1848,1929
388,1830,1914
389,1838,1910
390,1865,1957
391,1879,1964
392,1833,1908
393,1843,
394,1841,1924
395,1843,1917
396,1857,1922
397,1868,1906
398,1798,1857
399,1825,1877
400,1828,1897
401,1839,1892
402,1858,1921
403,1851,1928
404,1859,1916
405,1868,1923
406,1868,1940
407,1885,1970
408,1890,1956
409,1886,1941
410,1776,1810
411,1795,1861
412,1797,1888
413,1799,1800
414,1801,1883
415,1766,1806
416,1804,1806
418,1809,1872
419,1887,1947
420,1882,1951
421,1883,1942
422,1884,1948
423,1887,1949
424,1888,1958
425,1890,1920
426,1892,1980
427,1811,1890
428,1838,1923
429,1826,1907
430,1907,1938
432,1913,1993
433,1909,
434,1910,2000
435,1938,
436,1900,1961
437,1894,1956
438,1893,1953
439,1890,1947
440,1888,1934
441,1938,
442,1963,
443,1965,
444,1968,
445,1906,1947
446,1889,1918
447,1907,
448,1912,1997
449,1916,
450,1903,1991
451,1901,1954
452,1937,
453,1937,
454,1971,
455,1973,
456,1858,1950
457,1862,1930
458,1829,1907
459,1836,1913
460,1871,1937
461,1906,1937
462,1908,1968
463,1911,1937
464,1913,1997
465,1888,1940
466,1869,1957
467,1881,1881
468,1921,
469,1923,
470,1917,1981
471,1940,
472,1946,
473,1896,1972
474,1921,1993
475,1923,1970
476,1914,
477,1897,1960
478,1944,1978
479,1906,1963
480,
481,1901,1943
484,1756,1817
485,1770,1857
486,1857,1893
487,1861,1924
488,1840,1908
489,1865,1951
490,1874,1971
491,1842,1849
492,1843,1865
493,1806,1877
494,1901,1960
495,1813,1862
496,1752,1782
497,1838,1900
498,1845,1900
499,1843,1865
500,1924,
501,1929,
502,1896,1963
503,1917,1988
504,1919,1970
505,1924,
506,1947,
507,1929,1998
508,1961,
509,1920,1982
510,1800,1873
511,
512,1833,1834
513,1820,1879
514,
515,1800,1842
516,1808,1877
517,1721,1774
518,1886,1954
519,1906,1940
520,1907,1994
521,1909,1950
522,1911,1966
523,1915,1980
524,1917,1975
525,1907,1972
526,1934,
527,1936,
528,1909,1967
529,1601,1643
530,1547,1578
531,1541,1587
532,,1211
533,,1218
534,1943,
535,1949,1992
536,1916,
537,1920,
538,1944,
539,1947,1966
540,1920,1995
541,1946,
542,1947,
543,1955,
544,1952,
545,1955,
546,1918,1958
547,1879,1964
548,1891,1971
549,1887,1957
550,1888,1973
551,1898,1983
552,1887,1953
553,1744,1797
554,1715,1797
555,1767,1820
556,1751,1805
557,1772,1773
558,1773,1796
559,1774,1837
560,
561,1780,1841
562,1781,1846
563,1783,1851
564,1741,1816
565,1772,1843
566,1777,1847
567,1785,1846
568,1722,1758
569,1722,1780
570,1747,1767
571,1751,1820
572,1758,1759
574,1735,1788
575,1743,1787
576,1768,1816
578,1792,1839
580,1817,1905
582,1852,1912
584,1896,1985
585,1893,1970
586,1921,
587,1731,1767
588,1917,1992
589,1914,
590,1608,1660
591,1908,1975
592,1936,
593,1939,
594,1941,1956
595,1797,1855
596,1200,1240
597,1861,1951
598,1878,1958
599,1905,1935
600,1901,1983
601,1930,1993
602,1908,1972
603,1946,
604,1843,1912
605,1851,1926
606,1870,1947
607,1879,1952
608,1899,1972
609,1965,
610,1940,
611,1627,1693
613,1676,1747
614,1666,1726
615,1657,1696
616,1686,1711
617,1688,1765
618,1711,1751
619,1710,1777
620,1703,1732
621,1728,1811
623,1755,1801
625,1786,1819
626,1776,1823
628,1817,1888
629,1811,1863
630,1850,1922
631,1848,1922
632,1870,1949
634,1898,1977
635,1895,1964
636,1923,
637,1756,1825
638,1805,1872
639,1802,1878
640,1865,1906
641,1878,1960
643,1887,1922
645,1912,
646,1833,1896
648,1869,1955
649,1906,1989
650,1748,1806
652,1792,1849
653,1797,1881
654,1795,1865
655,1817,1890
656,1858,1934
657,1880,1962
658,1876,1934
659,1909,2004
660,1911,2004
661,1938,
663,1700,1751
665,1744,1799
666,1737,1803
667,1783,1832
668,1786,1856
669,1810,1893
671,1848,1931
672,
673,
675,
676,,1961
677,
678,
679,
680,
682,1858,1929
683,1857,1885
684,1776,1847
685,1831,1903
686,1821,1849
687,1849,1919
688,1845,1921
689,1869,1955
690,1878,1912
691,1905,1996
692,1653,1708
693,1665,1714
694,1684,1684
695,1685,1687
696,1686,1687
697,1687,1687
698,1689,1700
699,1690,1690
700,1692,1692
701,1693,1693
702,1694,1694
703,1696,1696
704,1698,1698
705,1700,1700
706,1633,1701
707,1637,1671
708,1660,1661
709,1662,1694
710,1663,1667
711,1666,1667
712,1667,1671
713,1669,1669
714,1671,1671
715,1658,1718
716,1675,1675
717,1677,1677
718,1682,1682
719,1688,1766
720,1692,1712
721,1702,1735
722,1720,1788
723,1725,1807
724,1752,1824
725,1566,1625
726,1574,1619
727,1594,1612
728,1596,1662
729,1598,1600
730,1600,1649
731,1602,1602
732,1603,1603
733,1605,1607
734,1606,1606
735,1596,1632
736,1630,1714
737,1534,1588
738,1557,1631
739,1609,1669
740,1553,1610
741,1573,1642
742,1629,1629
743,1630,1685
744,1631,1660
745,1635,1650
746,1637,1640
747,1639,1639
748,1640,1660
749,1644,1670
750,1625,1650
751,1640,1701
752,1638,1705
753,1604,1656
754,1613,1666
755,1634,1662
756,1630,1687
757,1650,1702
758,1629,1698
759,1761,1803
760,1763,1837
761,1688,1740
762,1736,1807
763,1742,1808
764,1749,1808
765,1617,1680
766,1619,1682
767,1620,1654
768,1625,1663
769,1627,1687
770,1674,1728
771,1668,1705
772,1657,1713
773,1457,1509
774,1466,1503
775,1486,1502
776,1489,1541
777,,1843
778,,1880
779,1791,1851
780,1818,1827
781,1758,1834
782,1762,1831
783,1776,1848
784,1803,1874
785,1796,1870
786,1817,1877
787,1812,1905
788,1811,1885
789,1800,1888
790,1809,1877
791,1796,1874
792,1791,1860
793,
794,
795,,1898
796,,1852
797,,1888
798,,1848
799,1810,1878
800,1812,1893
801,1981,
