Husband, Wife, Marriage Year
2,1,1840
133,138,1818
139,140,1817
20,3,1858
4,12,1863
22,5,1862
6,94,1874
117,7,1866
201,8,1871
9,120,1879
10,23,1882
25,11,1885
225,226,1842
14,30,1893
105,15,1889
71,17,1896
19,1216,1853
412,427,1829
21,402,1881
21,419,1922
357,358,1836
280,24,1904
347,348,1851
26,408,1917
409,27,1906
137,136,1866
31,70,1937
32,51,1923
68,33,1922
34,69,1935
35,66,1934
37,39,1894
40,41,1866
100,38,1884
44,45,1841
42,43,1817
1294,1295,1776
162,410,1793
44,1569,1880
349,350,1804
145,146,1881
57,52,1947
54,53,1960
54,2977,1978
104,101,1903
58,65,1981
62,59,1973
60,168,1986
239,93,1954
229,1362,1902
67,111,1961
803,1607,1893
91,70,1916
92,70,1928
171,172
604,605,1869
72,79,1888
404,74,1890
1203,74,1927
405,76,1889
403,77,1878
406,78,1893
83,97,1894
83,460,1905
151,84,1884
88,89,1972
804,93,1969
368,369,1931
309,96,1893
158,97,1905
2150,98,1896
2149,99,1909
102,502,1916
103,494,1922
227,228,1867
108,106,1963
107,319,1978
109,2979,1988
2960,110,1990
112,2969,1988
119,118,1891
199,200,1854
124,121,1905
122,125,1913
126,123,1919
124,238,1923
456,457,1881
286,127,1308
1903,2486,1284
129,407,1905
130,131,1761
323,332,1736
2147,2148,1735
132,134,1818
301,302,1786
271,135,1843
303,304,1835
2976,138,1803
2448,2614,1777
139,206,1832
141,142,1785
141,143,1795
1363,333,1764
1696,144,1816
182,183,1853
207,208,1859
477,147,1931
479,148,1931
149,157,1874
152,163,1889
152,1356,1902
2675,154,1894
155,1354,1912
1361,156,1901
1559,156,1916
159,2925,1919
160,161,1921
2926
162,510,1824
553,556,1769
164,1406,1926
165,2678,1882
353,354,1848
167,166,1914
169,170,1956
169,2929
811,812
823,170,1975
820,821,1928
191,174,1910
175,192,1908
176,193,1941
178,194,1914
195,179,1916
180,196,1928
181,197,1929
184,185,1800
364,365,1824
187,188,1767
190,188,1777
1215,198,1562
202,555,1791
203,219,1818
247,204,1797
205,2910,1816
360,361,1816
362,363,1829
211,210,1818
212,248,1815
290,214,1816
759,760,1782
488,224,1871
345,346,1810
298,299,1810
232,470,1938
438,233,1921
234,473,1919
239,243,1976
366,367,1919
809,240,1980
807,241,1978
242,2962,1989
2985,243,1948
2984,806,1927
244,292,1949
1696,245,1832
2511,1705,1809
246,517,1741
247,1069,1780
1067,1068,1753
558,248,1793
564,496,1768
249,250,1843
251,254,1878
261,252,1880
1052,255,1900
1053,257,1904
260,1054,1921
262,263,1847
264,267,1885
272,273,1877
278,281,1894
282,1708,1923
1709,284,1923
1710,285,1919
1261,1262,1254
1711,289,1931
336,762,1766
291,296,1952
291,316,1978
2982,2983
293,940,1979
294,945,1973
295,948,1981
297,983,1979
1643,1644,1774
1604,330,1740
484,485,1797
307,306,1863
1099,1100,1861
2980,314,1948
802,319,1971
321,322,1705
341,342,1682
618,324,1734
344,331,1743
2142,2143,1696
337,763,1771
764,340,1766
758,736,1658
2140,2141,1665
761,343,1706
344,1619,1752
1620,1621,1721
1641,1640,1766
351,352
2911,2912,1777
355,356,1817
396,397,1887
384,385,1894
370,371,1880
390,391
378,379,1848
372,373
376,377
374,375
382,383
380,381
386,387,1869
388,389,1859
788,787,1832
785,786,1845
789,790,1829
792,791
392,393
394,395
793,794
795,796
797,798
799,800
398,399,1854
400,401,1861
398,1730,1830
781,782,1781
779,780,1818
783,784,1825
777,778
683,682,1879
411,1155,1823
414,516,1827
415,2653,1790
418,1682,1830
418,513,1853
420,518,1905
421,547,1906
422,548,1914
423,549,1908
424,550,1914
425,551,1916
552,426,1913
429,428,1856
430,2640,1933
430,2641,1937
432,434,1935
2645,433,1935
2636,2637,1907
435,441,1962
440,436,1922
439,437,1921
438,971,1918
438,1058,1947
2530,2531,1883
445,602,1932
447,2732,1934
447,2733,1943
447,2730,1961
448,2731,1976
449,2734,1946
449,2735,1988
450,451,1929
597,598,1897
452,453,1968
458,459,1857
1613,1614,1823
461,463,1931
462,464,1937
465,2845,1920
465,2846,1929
466,2839,1907
468,469,1948
471,472,1964
608,1059,1935
1065,1066
475,474,1944
481,476,1930
574,575,1760
486,489,1889
487,490,1897
493,495,1833
493,2621,1868
1138,1142,1810
497,2627,1878
497,2628,1892
498,2625,1884
2624,499,1864
505,500,1946
507,501,1960
504,2156,1950
504,2157,1960
2162,509,1941
2163,509,1957
2164,509,1965
653,1029,1825
515,2654,1822
519,525,1933
