Dyad Sheet War Name,War Num,Secondary War Num,MilFatal,TotalFatal,Brecke Num 1,Brecke Start Year,Brecke War Name 1,Brecke Num 2,Brecke War Name 2,Brecke Num 3 ,Brecke War Name 3,Brecke Num 4,Brecke War Name 4,Notes
Italian Wars/ War of the League of Venice ; Charles VIII's Italian War; Italian War of 1499–1504; War over Naples/Neopolitan War etc. ,50,,,23500,516,1494,Charles VIII Invasion of Italy,522,War of the League of Venice,567,Invasion of Naples by Louis XII,548,First War of Louis XII for Milan,Brecke has Italian War of 1499-1504 as First War of Louis XII for Milan
Polish-Moldavian War/ Part of Polish-Ottoman Wars/ Battle of the Cosmin Forest,84,,,1600,538,1497,Polish War with Turks in Moldavia,,,,,,,
Ottoman War (1-1)/ Venetian-Turkish War of 1499,70,,4000,4000,549,1499,Venetian War of 1499-1503,,,,,,,Brecke has Ottoman as separate - not sure if I should include here
"Bavarian War of 1503-04 (No Wright Name)/ Bavarian War (War of the Landshut Succession)
(1503–1504)",18,,,,575,1503,Bavarian War of 1503-04,,,,,,,
War of the League of Cambrai/ War of the Cambrian League/ War of the Holy League,128,127,10000,10000,604,1508,War of the League of Cambrai,,,,,,,
Scottish War / Anglo-Scottish War of 1513,103,,,10000,651,1513,Scottish War,,,,,,,
Russo-Polish War/ Russo-Polish War (1512–1521),90,,,13200,643,1512,Russo-Polish War,,,,,,,
Ottoman War (1-2)/ Austro-Turkish War,71,,,8000,646,1512,0,,,,,,,
Conquest of Mexico,21,,2000,100000,701,1519,Conquest of Mexico,,,,,,,
1st War Against Charles the 5th - Navarreese Campaign,3,4,,31000,712,1521,First War of Charles V,,,,,,,
Ottoman War (1-3) / Hungarian Turkish War (1521-1526) & Austro-Turkish War (1529-1533),72,,68000,78000,711,1521,Ottoman War (part 1),778,Austro-Turkish War,,,,,
Scottish War (2),101,,,3000,716,1522,Scottish War,,,,,,,
Dano-Swedish War/ Kalmar Civil War,26,,,,705,1520,Kalmar Civil War,,,,,,,"Brecke has this starting in 1520, as opposed to 1524"
"Second War Against Charles the Fifth, Second Italian War between
Charles V and Francis I",106,,,17750,747,1526,Second War of Charles V,,,,,,,
