Person Name,Person ID,Modification Type,Year,Citation
Ernest Aldrich /Simpson/,92,Added Birth Date,1897,https://en.wikipedia.org/wiki/Ernest_Simpson
Teackle Wallis /Warfield/,171,Added Birth Date,1869,https://www.findagrave.com/memorial/46484651/teackle-wallis-warfield
Teackle Wallis /Warfield/,171,Added Death Date,1896,https://www.findagrave.com/memorial/46484651/teackle-wallis-warfield
Alice M /Montague/,172,Added Birth Date,1869,https://www.ancestry.com/genealogy/records/alice-m-montague-24-68xj
Alice M /Montague/,172,Added Death Date,1929,https://www.ancestry.com/genealogy/records/alice-m-montague-24-68xj
John  /Wood/,374,Added Birth Date,1785,https://www.geni.com/people/John-Wood/6000000004026707367
John  /Wood/,374,Corected Death Date,1848,https://www.geni.com/people/John-Wood/6000000004026707367
Ellen  /Strong/,375,Added Birth Date,1802,https://gw.geneanet.org/tdowling?lang=en&n=strong&oc=0&p=ellen
James Brownell /Boothby/,380,Added Birth Date,1791,https://gw.geneanet.org/tdowling?lang=en&n=boothby&oc=0&p=james+brownell
Agnes  /Just/,667,Added Birth Date,1783,https://www.geni.com/people/Gr%C3%A4fin-Agnes-Leopoldine-Casimire-von-Seherr-Thoss/6000000003232533082
Agnes  /Just/,667,Added Death Date,1832,https://www.geni.com/people/Gr%C3%A4fin-Agnes-Leopoldine-Casimire-von-Seherr-Thoss/6000000003232533082
Ernst  /von Seherr-Thoss/,668,Added Birth Date,1786,https://www.geni.com/people/Graf-Ernst-Heinrich-Leopold-von-Seherr-Thoss/6000000000632011661
Ernst  /von Seherr-Thoss/,668,Added Death Date,1856,https://www.geni.com/people/Graf-Ernst-Heinrich-Leopold-von-Seherr-Thoss/6000000000632011661
Alfonso IV /d'Este/,755,Added Birth Date,1634,"https://en.wikipedia.org/wiki/Alfonso_IV_d%27Este,_Duke_of_Modena"
John III of Cleves/_____/,854,Added Birth Date,1490,"https://en.wikipedia.org/wiki/John_III,_Duke_of_Cleves"
John III of Cleves/_____/,854,Added Death Date,1539,"https://en.wikipedia.org/wiki/John_III,_Duke_of_Cleves"
Elizabeth Petrovna /Romanov/,1304,Added Death Date,1762,https://en.wikipedia.org/wikElizabeth_of_Russia
Walter  /Stuart/,1458,Added Birth Date,1338,"https://en.wikipedia.org/wiki/Walter_Stewart,_Lord_of_Fife"
John  /Stuart/,1480,Added Birth Date,1519,https://www.geni.com/people/John-Stewart-5th-Lord-of-Aubigny/6000000004041140484
John  /Stuart/,1480,Added Death Date,1576,https://www.geni.com/people/John-Stewart-5th-Lord-of-Aubigny/6000000004041140484
Gunnor of /Crˆpon/,1531,Added Birth Date,936,https://en.wikipedia.org/wiki/Gunnor
Gunnor of /Crˆpon/,1531,Added Month of Death,1031,https://en.wikipedia.org/wiki/Gunnor
Ren‚ I the good/d'Anjou/,2272,Added Birth Date,1409,https://en.wikipedia.org/wiki/Ren%C3%A9_of_Anjou
Maximilian II Emmanuel of Bavaria,2428,Added Birth Date,1662,"https://en.wikipedia.org/wiki/Maximilian_II_Emanuel,_Elector_of_Bavaria"
Maria Theresa /Habsburg/,2432,Added Birth Date,1717,https://en.wikipedia.org/wiki/Maria_Theresa
Philibert II the Handsome/de Savoie/,2893,Added Birth Date,1480,"https://en.wikipedia.org/wiki/Philibert_II,_Duke_of_Savoy"
Charles X of France,3783,Added Birth Date,1775,https://en.wikipedia.org/wiki/Charles_X_of_France
Charles X of France,3783,Added Death Date,1836,https://en.wikipedia.org/wiki/Charles_X_of_France
Francis II of Brittany/de Dreux/,4297,Added Birth Date,1433,"https://en.wikipedia.org/wiki/Francis_II,_Duke_of_Brittany"
Francis Joseph of/Saxe-Saalfeld-Coburg/,4711,Added Birth Date,1697,"https://en.wikipedia.org/wiki/Francis_Josias,_Duke_of_Saxe-Coburg-Saalfeld"
Francis Joseph of/Saxe-Saalfeld-Coburg/,4711,Added Death Date,1764,"https://en.wikipedia.org/wiki/Francis_Josias,_Duke_of_Saxe-Coburg-Saalfeld"
Ernest Augustus of/Saxe-Weimar/,4903,Added Birth Date,1737,"https://en.wikipedia.org/wiki/Ernest_Augustus_II,_Duke_of_Saxe-Weimar-Eisenach"
Casimir IV of Poland,5547,Added Birth Date,1427,https://en.wikipedia.org/wiki/Casimir_IV_Jagiellon
Sigismund I the Elder of Poland,5550,Added Birth Date,1467,https://en.wikipedia.org/wiki/Sigismund_I_the_Old
Louis II of Bohemia,6366,Added Birth Date,1506,https://en.wikipedia.org/wiki/Louis_II_of_Hungary
Louis II of Bohemia,6366,Added Month of Death,1526,https://en.wikipedia.org/wiki/Louis_II_of_Hungary
Milos  /Obrenovic/,7169,Added Birth Date,1780,https://en.wikipedia.org/wiki/Milo%C5%A1_Obrenovi%C4%87_I_of_Serbia
Michael of Serbia,7171,Added Birth Date,1823,https://www.britannica.com/biography/Michael-III-prince-of-Serbia
Milan I of Serbia,7175,Added Birth Date,1854,https://en.wikipedia.org/wiki/Milan_I_of_Serbia
Alexander I of Serbia,7176,Added Birth Date,1876,https://en.wikipedia.org/wiki/Alexander_I_of_Serbia
Francis  /Phoebus/ King of Navarre,7762,Added Birth Date,1469,https://en.wikipedia.org/wiki/Francis_Phoebus_of_Navarre
Catherine of Navarre,7763,Added Birth Date,1468,https://en.wikipedia.org/wiki/Catherine_of_Navarre
enry II of Navarre/d'Albret/,7766,Added Birth Date,1503,https://en.wikipedia.org/wiki/Henry_II_of_Navarre
enry II of Navarre/d'Albret/,7766,Added Month of Death,1555,https://en.wikipedia.org/wiki/Henry_II_of_Navarre
 Ulick  /de Burgh/ Marquis of Clanricard 1st,8856,Corrected Birth Date,1604,"https://en.wikipedia.org/wiki/Ulick_Burke,_1st_Marquess_of_Clanricarde"
James FitzMaurice /FitzGerald/,8985,Added Birth Date,1495,https://www.geni.com/people/James-FitzMaurice-Fitzgerald-10th-Earl-of-Desmond/6000000002824528717
Maurice Bacach fitzThomas/FitzGerald/,9156,Added Birth Date,1460,https://www.geni.com/people/Maurice-Fitzgerald-9th-Earl-of-Desmond/6000000006444209205
 John III of Portugal,10156,Added Birth Date,1502,https://en.wikipedia.org/wiki/John_III_of_Portugal
Ferdinand II of Tuscany/de' Medici/,10200,Added Birth Date,1610,"https://en.wikipedia.org/wiki/Ferdinando_II_de%27_Medici,_Grand_Duke_of_Tuscany"
Cosimo III of Tuscany/de' Medici/,10201,Added Birth Date,1642,"https://en.wikipedia.org/wiki/Cosimo_III_de%27_Medici,_Grand_Duke_of_Tuscany"
Giovanni Gastone of Tuscany/de' Medici/,10202,Added Birth Date,1671,"https://en.wikipedia.org/wiki/Gian_Gastone_de%27_Medici,_Grand_Duke_of_Tuscany"
Pier Luigi /Farnese/,10214,Added Birth Date,1503,"https://en.wikipedia.org/wiki/Pier_Luigi_Farnese,_Duke_of_Parma"
Pier Luigi /Farnese/,10214,Added Month of Death,1547,"https://en.wikipedia.org/wiki/Pier_Luigi_Farnese,_Duke_of_Parma"
Ottavio  /Farnese/,10215,Added Birth Date,1524,"https://en.wikipedia.org/wiki/Ottavio_Farnese,_Duke_of_Parma"
Alessandro  /Farnese/,10216,Added Birth Date,1545,"https://en.wikipedia.org/wiki/Alexander_Farnese,_Duke_of_Parma"
Ranuccio I /Farnese/,10217,Added Birth Date,1569,"https://en.wikipedia.org/wiki/Ranuccio_I_Farnese,_Duke_of_Parma"
Odoardo  /Farnese/,10218,Added Birth Date,1612,"https://en.wikipedia.org/wiki/Odoardo_Farnese,_Duke_of_Parma"
Ranuccio II /Farnese/,10219,Added Birth Date,1630,"https://en.wikipedia.org/wiki/Ranuccio_II_Farnese,_Duke_of_Parma"
Francesco  /Farnese/,10220,Added Birth Date,1678,"https://en.wikipedia.org/wiki/Francesco_Farnese,_Duke_of_Parma"
 Antonio  /Farnese/,10221,Added Birth Date,1679,"https://en.wikipedia.org/wiki/Antonio_Farnese,_Duke_of_Parma"
 Antonio  /Farnese/,10221,Added Month of Death,1731,"https://en.wikipedia.org/wiki/Antonio_Farnese,_Duke_of_Parma"
Philibert I the Hunter/de Savoie/,10239,Added Birth Date,1465,"https://en.wikipedia.org/wiki/Philibert_I,_Duke_of_Savoy"
Philibert I the Hunter/de Savoie/,10239,Added Month of Death,1482,"https://en.wikipedia.org/wiki/Philibert_I,_Duke_of_Savoy"
Charles I the Warrior/de Savoie/,10240,Added Birth Date,1468,"https://en.wikipedia.org/wiki/Charles_I,_Duke_of_Savoy"
