id,year,type
0,1912,Balance of Power
1,1912,Balance of Power
2,1912,Balance of Power
3,1913,Balance of Power
4,1913,Balance of Power
5,1913,Balance of Power
6,1562,Civil
7,1563,Civil
8,1521,Other
9,1522,Other
10,1523,Other
11,1524,Other
12,1525,Other
13,1521,Balance of Power
14,1521,Balance of Power
15,1522,Balance of Power
16,1522,Balance of Power
17,1523,Balance of Power
18,1523,Balance of Power
19,1524,Balance of Power
20,1524,Balance of Power
21,1525,Balance of Power
22,1525,Balance of Power
23,1526,Balance of Power
24,1526,Balance of Power
25,1913,Balance of Power
26,1913,Balance of Power
27,1913,Balance of Power
28,1856,Balance of Power
29,1856,Balance of Power
30,1857,Balance of Power
31,1857,Balance of Power
32,1858,Balance of Power
33,1858,Balance of Power
34,1859,Balance of Power
35,1859,Balance of Power
36,1860,Balance of Power
37,1860,Balance of Power
38,1536,Balance of Power
39,1536,Balance of Power
40,1537,Balance of Power
41,1537,Balance of Power
42,1538,Balance of Power
43,1538,Balance of Power
44,1542,Balance of Power
45,1542,Balance of Power
46,1543,Balance of Power
47,1543,Balance of Power
48,1544,Balance of Power
49,1544,Balance of Power
50,1552,Balance of Power
51,1552,Balance of Power
52,1552,Balance of Power
53,1552,Balance of Power
54,1552,Balance of Power
55,1552,Balance of Power
56,1553,Balance of Power
57,1553,Balance of Power
58,1553,Balance of Power
59,1553,Balance of Power
60,1553,Balance of Power
61,1553,Balance of Power
62,1554,Balance of Power
63,1554,Balance of Power
64,1554,Balance of Power
65,1554,Balance of Power
66,1554,Balance of Power
67,1554,Balance of Power
68,1555,Balance of Power
69,1555,Balance of Power
70,1555,Balance of Power
71,1555,Balance of Power
72,1555,Balance of Power
73,1555,Balance of Power
74,1556,Balance of Power
75,1556,Balance of Power
76,1556,Balance of Power
77,1557,Balance of Power
78,1557,Balance of Power
79,1557,Balance of Power
80,1557,Balance of Power
81,1558,Balance of Power
82,1558,Balance of Power
83,1558,Balance of Power
84,1558,Balance of Power
85,1559,Balance of Power
86,1559,Balance of Power
87,1559,Balance of Power
88,1559,Balance of Power
89,1541,Imperial
90,1778,Civil
91,1779,Civil
92,1779,Civil
93,1779,Civil
94,1780,Civil
95,1780,Civil
96,1780,Civil
97,1780,Civil
98,1781,Civil
99,1781,Civil
100,1781,Civil
101,1781,Civil
102,1782,Civil
103,1782,Civil
104,1782,Civil
105,1782,Civil
106,1783,Civil
107,1783,Civil
108,1783,Civil
109,1783,Civil
110,1652,Balance of Power
111,1653,Balance of Power
112,1654,Balance of Power
113,1550,Civil
114,1550,Civil
115,1848,Balance of Power
116,1848,Balance of Power
117,1849,Balance of Power
118,1849,Balance of Power
119,1866,Balance of Power
120,1866,Balance of Power
121,1866,Balance of Power
122,1866,Balance of Power
123,1866,Balance of Power
124,1866,Balance of Power
125,1866,Balance of Power
126,1866,Balance of Power
127,1866,Balance of Power
128,1866,Balance of Power
129,1866,Balance of Power
130,1866,Balance of Power
131,1866,Balance of Power
132,1866,Balance of Power
133,1866,Balance of Power
134,1866,Balance of Power
135,1866,Balance of Power
136,1866,Balance of Power
137,1866,Balance of Power
138,1866,Balance of Power
139,1787,Balance of Power
140,1787,Balance of Power
141,1788,Balance of Power
142,1788,Balance of Power
143,1789,Balance of Power
144,1789,Balance of Power
145,1790,Balance of Power
146,1790,Balance of Power
147,1791,Balance of Power
148,1791,Balance of Power
149,1792,Balance of Power
150,1792,Balance of Power
151,1615,Balance of Power
