budget,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,tagline,title,vote_average,year
0,76600,tt1630029,en,Avatar 2,A sequel to Avatar (2009).,6.020055,/wvpOVl37PR21mENpmZKVwrLUsRD.jpg,2020-12-16,0.0,0.0,,Avatar 2,0.0,2020
230000000,166426,tt1790809,en,Pirates of the Caribbean: Dead Men Tell No Tales,"Thrust into an all-new paycheck, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of a payout lies in seeking out the legendary Trident of Numbers, but to find it, he must forge an uneasy alliance with a reasonably intelligent and pretty astronomer and a irritating young man in the British navy.",133.82782,/xbpSDU3p7YUGlu9Mr6Egg2Vweto.jpg,2017-05-23,794191988.0,129.0,,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,2017
0,141052,tt0974015,en,Justice League,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry, and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",25.944629,/9rtrRGeRnL0JKtu9IMBWsmlmmZz.jpg,2017-11-15,0.0,0.0,,Justice League,0.0,2017
0,284053,tt3501632,en,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",57.283628,/avy7IR8UMlIIyE2BPCI4plW4Csc.jpg,2017-10-25,0.0,0.0,,Thor: Ragnarok,0.0,2017
200000000,283995,tt3896198,en,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,185.330992,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,2017-04-19,863416141.0,137.0,Obviously.,Guardians of the Galaxy Vol. 2,7.6,2017
0,38700,tt1502397,en,Bad Boys for Life,The continuing adventures of Miami detectives Mike Lowrey and Marcus Burnett. Plot unknown.,2.178546,/2GwwyfykFAf3jKXFWMkBiLgTi3k.jpg,2018-11-07,0.0,0.0,,Bad Boys for Life,0.0,2018
0,245842,tt2328678,en,The King's Daughter,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",1.138419,/xBLskcmADJYJrDw3O04XdMvrE2m.jpg,2017-12-30,0.0,0.0,What on Earth Can Hold More Power Than a King?,The King's Daughter,0.0,2017
3400000,279988,tt3033080,en,Extinction Jurassic Predators 2017,"The amazing footage you will see in this documentary was recorded during an expedition to the Amazon in South America. It has been assembled as per the camera time codes. It has not been altered or tampered with in any way and after extensive testing has been considered absolutely genuine. What you will see will change the way you view the natural world. Are you ready for that? For in the heart of the rainforest, a team of researchers led by the respected Professor John Howson strived to protect endangered and vulnerable species from extinction. But their guides abandoned them after a series of strange and unexplainable events and the team soon got hopelessly lost in the jungle. When events took a horrifying turn, the team realized that they were in the hunting grounds of an apex predator. And now they were the ones on the endangered species list.",1.862426,/53pVxhzJjTlFqxXEyf39Cf2g7qq.jpg,2017-03-10,0.0,100.0,Extinction: Nature Has Evolved,Extinction: Nature Has Evolved,0.0,2017
0,326241,tt4157510,en,For Here or to Go?,An aspiring Indian tech entrepreneur in the Silicon Valley finds himself unexpectedly battling the bizarre American immigration system to keep his dream alive or prepare to return home forever.,0.579564,/bQzbh4ULjGlsUjTdkWWQG58L4a6.jpg,2017-03-31,0.0,105.0,,For Here or to Go?,0.0,2017
7000000,354556,tt4600952,ru,Защитники,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again.",10.830129,/r1cJPzC85XsVOzai8MMG9Qe4AH6.jpg,2017-02-14,0.0,100.0,Squad of Soviet Superheroes,Guardians,4.4,2017
0,306943,tt2597760,en,The Outcasts,"After falling victim to a humiliating prank by the high school Queen Bee, best friends and world-class geeks, Mindy and Jodi, decide to get their revenge by uniting the outcasts of the school against her and her circle of friends.",10.591249,/44jotbmLRwHSIcd4wVAYCVmli8D.jpg,2017-04-14,0.0,95.0,Let the battle for high school begin.,The Outcasts,7.1,2017
149000000,297762,tt0451279,en,Wonder Woman,An Amazon princess comes to the world of Man to become the greatest of the female superheroes.,294.337037,/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg,2017-05-30,820580447.0,141.0,Power. Grace. Wisdom. Wonder.,Wonder Woman,7.2,2017
0,252983,tt3498786,en,Sly Cooper,"Sly Cooper is a kinetic and comedic heist film that tells the story of Sly Cooper, an orphaned raccoon thief, along with his childhood friends and partners in crime, Bentley Turtle and Murray Hippo. In the film, Sly learns of his birth family's secret legacy; that he comes from a long line of talented and international thieves. Endowed with this knowledge, Sly and his friends are catapulted into a global adventure as they race to reassemble pieces of an ancient book holding The Cooper Clan's family secrets before it can fall into the hands of Clockwerk -- an evil Russian metallic owl bent on ending the Cooper family line. From romantic Parisian backdrops to the lush mountains of China, gritty film noir meets bright, colorful graphic novels in this origin story of the world's greatest thief-turned-hero.",1.531827,/rw36cctUD5kPCNCxFYsQ7F205B8.jpg,2017-12-31,0.0,0.0,,Sly Cooper,0.0,2017
18000000,302349,tt3038708,en,Iron Sky: The Coming Race,"Twenty years after the events of Iron Sky, the former Nazi Moonbase has become the last refuge of mankind. Earth was devastated by a nuclear war, but buried deep under the wasteland lies a power that could save the last of humanity - or destroy it once and for all. The truth behind the creation of mankind will be revealed when an old enemy leads our heroes on an adventure into the Hollow Earth. To save humanity they must fight the Vril, an ancient shapeshifting reptilian race and their army of dinosaurs.",1.917649,/dJTn8jUruV3llF1sGxSakd3hC63.jpg,2018-03-01,0.0,0.0,,Iron Sky: The Coming Race,0.0,2018
18000000,339988,tt4287320,en,The Circle,"A young tech worker takes a job at a greedy Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will have no effect whatsoever.",88.439243,/bQVqd5rWrx5GbXhJNuvKy4Viz6j.jpg,2017-04-27,20497844.0,110.0,Knowing is good. Knowing everything is better.,The Circle,5.4,2017
0,353616,tt4765284,en,Pitch Perfect 3,Sequel to Pitch Perfect 2,3.782498,/A4bAz2rvc0vjitQ7sm0gyqgaehp.jpg,2017-12-21,0.0,0.0,,Pitch Perfect 3,0.0,2017
0,324017,,en,The Master,"In 19th-century China, during the infamous Qing Dynasty, the population is suffering at the hands of greedy landlords, corrupt officials, and unwelcome invaders. Hoping to unite his people, martial arts master Chen Xiang opens a school integrating techniques from both the North and South. But after Chen refuses to join the armies of the Qing Prince, his mother and his students are seized. To save them, Chen has only one path: all-out war.",0.414474,,2017-01-01,0.0,109.0,,The Master,0.0,2017
0,354216,tt4935372,en,The Devil's Candy,"A struggling painter is possessed by satanic forces after he and his young family move into their dream home in rural Texas, in this creepy haunted-house tale.",9.968649,/xLw8nDNLuffMdvjYXQLwL6UCXcs.jpg,2017-03-17,0.0,90.0,,The Devil's Candy,6.4,2017
0,379388,tt5305262,es,Las Plantas,"For a whole  summer, 17-year-old Florencia has to look after her brother, who is  trapped in a persistent vegetative state. She washes him, changes his  nappies, and cuddles up to him in bed. From time to time she reads  to him from a comic called LAS  PLANTAS,  which is about plant souls  that take control of human bodies at full moon. At night, Florencia  makes contact with men on the internet. Images of her monotonous  daily routine and a vibrant fantasy world merge to create a fascina-  ting tale of a young woman as she self-determines her own sexual  awakening. Dreamlike sequences and atmospheric, metallic music  create the mood of a thriller.",0.218588,/eQPV77QNMBYo0uAVcQemoVkUBSU.jpg,2017-01-27,0.0,93.0,Do you think plants could have souls?  That we might even be able to talk to  them?,Las Plantas,0.0,2017
0,207680,tt3039472,en,"Return to Return to Nuke 'Em High, aka Volume 2","Following the events of Volume 1,  the mutated glee club continue their violent rampage in Tromaville. Chrissy and Lauren, two innocent lesbian lovers, must fight not only the Cretins, mutants, and monsters but also the evil Tromorganic Foodstuffs Conglomerate. Can they, and Kevin the Wonder Duck, save Tromaville High School and the world?",0.906976,/knZGNrKSeuE59VciiMBrGOJ9fZU.jpg,2017-01-15,0.0,72.0,,"Return to Return to Nuke 'Em High, aka Volume 2",0.0,2017
0,392418,tt4896904,en,The Cheerleader Murders,"A high school student whose father and sister were recently murdered begins her own investigation after two of her fellow cheerleaders are kidnapped. She sets out on a rescue mission, but the killer may already be hot on her trail.",0.877195,/pT0IDVth10tL620r46XVYybEXWU.jpg,2017-03-17,0.0,84.0,,The Cheerleader Murders,4.0,2017
0,305342,tt3914332,en,Dean,A freelance illustrator in New York suffers a quarter-life crisis and leaves his home for the west coast.,1.807007,/qO5DIwznN6p3ms87ZrStB0pz9EW.jpg,2017-06-02,0.0,87.0,,Dean,7.7,2017
0,332283,tt3906082,en,Mary Shelley,"The love affair between poet Percy Shelley and 18 years old Mary Wollstonecraft, which resulted in Mary Shelley writing Frankenstein.",3.328261,/AnHutc9eDDrVXvlmYFohEougTHq.jpg,2018-04-25,0.0,0.0,,Mary Shelley,0.0,2018
0,300665,tt2620590,en,Leatherface,"A young nurse is kidnapped by a group of violent teens who escape from a mental hospital and take her on the road trip from hell. Pursued by an equally deranged lawman out for revenge, one of these teens is destined for tragedy and horrors that will destroy his mind, molding him into the monster we now call Leatherface.",9.742082,/qdRq1EygZK2LIYM6v29ai9uBOhE.jpg,2017-09-14,0.0,90.0,The Origin Story of The Texas Chain Saw Massacre,Leatherface,5.7,2017
