id,name,year_birth,year_death,dinasty
10257,Alfonso II / Naples,1448,1495,Naples
2443,Isabella of Portugal,1428,1496,Portugal
2887,Isabella of Asturias,1470,1498,Asturias (Aragon/Spain)
775,Arthur Tudor,1486,1502,United Kingdom
774,Elizabeth of York / Plantagenet,1466,1503,United Kingdom
5549,Alexander of Poland,1461,1506,Poland
2885,Philip I the Handsome / Hapsburg,1478,1506,Castile
838,Louis XII / France,1462,1515,France
2888,Maria of Aragon,1482,1517,"Aragon, Siciliy, Naples, Castille"
2864,Christina / Saxony-Wettin,1461,1521,Saxony
10155,Manuel I the Fortunate of Portugal,1469,1521,Portugal
14855,Isabella Hapsburg,1501,1525,Castile
18970,Barbara / Poland,1478,1534,Poland
18470,Catherina / Saxe-Lauenburg,1513,1535,German Empire (Saxe-Lauenberg)
833,Catherine of Aragon,1485,1536,United Kingdom
872,Isabella of Portugal,1503,1539,Portugal
776,Margaret Tudor,1489,1541,United Kingdom
11656,Anthony II / Buono de Lorraine,1489,1544,
14853,Elizabeth Hapsburg,1526,1545,HRE
1816,Francis I of France/de Valois/,1494,1547,France
23664,Albert V von Meckleburg-Schwerin,1488,1547,Mecklenberg (Northern German state at the time)
10157,Joao / Portugal,1537,1554,Portugal
23643,Elizabeth Oldenburg,1485,1555,"Denmark, Norway, Sweden"
871,Charles V of Spain/Habsburg/,1500,1558,HRE
1248,Francis II / France de Valois,1544,1560,France
23663,Anna Hohenzollern,1507,1567,Prussia
2134,Elizabeth de France,1545,1568,France
11730,Joachim II Hector / Hohenzollern,1505,1571,Margraviate of Brandenburg
10513,Joana Hapsburg,1537,1573,Austria
2522,Charles IX / France de Valois,1550,1574,France
2135,Anne of Austria/Habsburg/,1549,1580,Spain
26045,Elizabeth of Hesse,1539,1582,Hesse (German)
18971,Anna of Denmark-Oldenburg,1532,1585,Denmark
5505,John III / Sweden Vasa,1537,1592,Sweden
11731,John George / Bradenburg Hohenzollern,1525,1598,Margraviate of Brandenburg
740,Henry IV of France de Bourbon ,1553,1610,"France, Navarre"
11746,Christian II / Saxony /Wettin,1583,1611,Saxony
1017,Margaret of Austria / Habsburg,1584,1611,Austria
1628,Anne Catherine / Hohenzollern,1575,1612,HRE
20257,Johann Adolf /von Holstein-Gottorp/,1575,1616,Sweden
726,Anne / Denmark / Oldenburg,1574,1619,Denmark
725,James I Stuart,1566,1625,United Kingdom
20373,Constance of Austria Hapsburg,1588,1631,Austria
735,Frederick V of Palatinate/Wittelsbach/,1596,1632,Bohemia
11733,George William /Hohenzollern/,1595,1640,Prussia
529,Louis XIII / France de Bourbon,1601,1643,France
896,Elizabeth / France de Bourbon,1602,1644,France
20378,Cecille Renate Hapsburg,1611,1644,Austria
2417,Maria Anna of Spain/Habsburg/,1606,1646,"Spain, Portugal"
23681,Christian Oldenburg,1603,1647,Denmark
730,Charles I Stuart,1600,1649,United Kingdom
2418,Ferdinand III of Hapsburg,1608,1657,HRE
3880,Anne-Eleanor of /Hesse-Darmstadt/,1601,1659,Hesse-Darmstadt
744,Mary Henrietta Stuart,1631,1660,United Kingdom
768,Edward of Bavaria/Wittelsbach,1625,1663,
2913,Marie Christine de Bourbon,1606,1663,France
2131,Philip IV of Spain/Habsburg/,1605,1665,Spain
749,Henrietta Anne Stuart,1644,1670,United Kingdom
38594,Sophie Eleanor Wettin,1609,1671,Saxony
10248,Charles Emmanuel II / Savoy,1634,1675,Savoy (likely Peidmont/Italy related)
11711,Louis VI of/Hesse-Darmstadt,1630,1678,Hesse-Darmstadt
25924,Marie Hedwig / Hesse-Darmstadt,1647,1680,Hesse-Darmstadt
11748,John George II / Saxony / Wettin,1613,1680,Saxony
1173,Elizabeth Henrietta / Hesse-Cassel,1661,1683,Hesse-Kassel
2415,Charles II / Palatinate Wittelsbach,1651,1685,Electoral Palatinate
1631,Sophia Amerlia / Brunswick,1628,1685,Brunswick-Luneberg
