country_id,person_id,year_start,year_end
19,625,1815,1818
19,11905,1818,1830
19,5168,1830,1852
19,11907,1852,1856
19,429,1856,1871
20,11794,1623,1651
20,11795,1651,1679
20,2428,1679,1726
20,10378,1726,1745
20,11796,1745,1777
20,11824,1777,1799
20,637,1799,1825
20,1138,1825,1848
20,1143,1848,1864
20,1145,1864,1871
27,758,1692,1698
27,341,1698,1727
27,321,1727,1760
27,130,1760,1820
27,141,1820,1830
27,203,1830,1837
27,212,1837,1851
27,249,1851,1866
28,2911,1815,1830
28,349,1830,1848
28,493,1848,1871
29,1736,1815,1821
29,566,1821,1837
29,4983,1837,1866
34,1618,1815,1839
34,1645,1839,1848
34,1649,1848,1863
37,1213,1867,1871
38,271,1867,1871
40,28145,1867,1871
55,1693,1867,1871
56,11737,1486,1525
56,11738,1525,1532
56,11739,1532,1547
56,11743,1547,1553
56,11744,1553,1586
56,11745,1586,1591
56,11746,1591,1611
56,11747,1611,1656
56,11748,1656,1680
56,11749,1680,1691
56,11750,1691,1694
56,11751,1694,1733
56,11752,1733,1763
56,11753,1763,1763
56,11754,1763,1827
56,3784,1827,1836
56,11757,1836,1854
56,11758,1854,1871
63,247,1815,1816
63,1070,1816,1864
63,1080,1851,1871
66,7243,1581,1584
66,7244,1585,1625
66,7245,1625,1647
66,750,1647,1650
66,757,1650,1702
66,618,1711,1751
66,650,1751,1795
66,565,1815,1840
66,652,1840,1849
66,655,1849,1890
66,657,1890,1948
70,5548,1492,1501
70,5549,1501,1506
70,5550,1506,1548
70,5551,1548,1572
70,2523,1573,1574
70,5553,1575,1586
70,5506,1587,1632
70,5555,1632,1648
70,5556,1648,1668
70,2138,1674,1696
70,11751,1697,1733
70,11752,1733,1764
75,5547,1440,1492
75,5549,1492,1506
82,21392,1457,1498
82,1107,1866,1914
82,309,1914,1927
83,7164,1462,1505
83,7166,1505,1533
83,7167,1533,1584
83,7168,1584,1598
83,18486,1598,1605
83,18488,1605,1605
83,5555,1610,1613
83,1312,1613,1645
83,1309,1645,1676
83,1311,1676,1682
83,1301,1682,1725
83,1302,1725,1727
83,1308,1727,1730
83,1318,1730,1740
83,1323,1740,1741
83,1304,1741,1762
83,1299,1762,1796
83,1300,1762,1762
83,1294,1796,1801
83,1296,1801,1825
83,42,1825,1855
83,1298,1825,1825
83,44,1855,1881
83,40,1881,1894
83,37,1894,1917
87,6365,1490,1516
87,6366,1516,1526
87,6368,1527,1563
87,7237,1563,1572
87,7238,1572,1608
87,7239,1608,1618
87,2419,1618,1625
87,2418,1625,1655
87,2420,1655,1705
105,565,1839,1840
106,565,1815,1840
106,652,1840,1849
106,655,1849,1890
106,580,1890,1905
106,582,1905,1912
106,7241,1912,1919
157,11803,1476,1508
157,11804,1508,1544
157,11805,1544,1556
157,11807,1556,1559
157,11818,1559,1576
157,11819,1576,1583
157,11820,1583,1610
157,735,1610,1623
157,765,1648,1680
157,2415,1680,1685
157,11815,1685,1690
157,11816,1690,1716
157,11817,1716,1742
157,11824,1742,1799
157,637,1799,1803
170,6365,1471,1516
170,6366,1516,1526
170,6368,1526,1562
170,7237,1562,1575
170,7238,1575,1611
170,7239,1611,1617
170,2418,1617,1654
170,2419,1617,1627
170,735,1619,1620
170,2420,1654,1705
172,11724,1486,1499
172,11728,1499,1535
172,11730,1535,1571
172,11731,1571,1598
172,2274,1598,1608
172,11732,1608,1619
172,11733,1619,1640
172,11734,1640,1688
172,772,1688,1713
172,761,1713,1740
172,1162,1740,1786
172,553,1786,1797
172,162,1797,1840
172,411,1840,1861
