War Num,TotalFatal
50,23500
84,1600
70,4000
18,NaN
127,10000
128,10000
103,10000
90,13200
71,8000
21,100000
3,31000
4,31000
72,78000
101,3000
26,NaN
106,17750
22,1000
83,NaN
53,NaN
88,9600
7,75000
74,30000
10,7000
8,77000
102,1300
107,8250
100,8000
13,750
75,48000
77,48000
9,95000
41,95000
76,24000
95,NaN
44,46800
2,14000
78,38000
89,NaN
96,26250
79,2400
125,48000
97,4800
129,17000
82,22500
130,NaN
86,10000
80,5000
87,8000
17,6000
111,2250
113,5000
112,2000
118,8000000
47,NaN
91,16050
25,NaN
114,NaN
31,NaN
12,26040
43,30000
92,46000
28,4000
81,27600
104,37000
32,2000
117,323200
33,5000
69,580000
105,800000
124,1205000
123,28350
116,NaN
20,NaN
122,85000
121,26000
119,330270
94,10000
109,988000
99,NaN
11,40000
126,300
16,191500
93,90000
36,1915000
37,1915000
38,1915000
39,1915000
40,1915000
55,4425000
56,4425000
57,4425000
58,4425000
59,4425000
60,4425000
61,4425000
62,4425000
63,4425000
64,4425000
65,4425000
66,4425000
67,4425000
24,772000
6,11000
49,17500
48,2500
54,44787
51,NaN
42,4312
15,78978
23,1000
30,228000
108,3000
1,82000
5,44500
131,19617000
