Year of Death,Name,Monarch,Unexpected,Stress Related,Cause of Death
1495,Alfonso II / Naples,,,Yes,Final Illness; after >1 year of deteriorating health
1496,Isabella of Portugal,,,,Dementia
1498,Isabella of Asturias,,Yes,Yes,During Childbirth; She acted dangerously during pregancy
1502,Arthur Tudor,,,,Final Illness; after >1 year of deteriorating health
1503,Elizabeth of York / Plantagenet,,Yes,,Post partum infection
1506,Alexander of Poland,Yes,,,???
1506,Philip I the Handsome / Hapsburg,Yes,Yes,,Typhoid
1515,Louis XII / France,Yes,,,Severe Gout for >1 year
1517,Maria of Aragon,,,,???
1521,Christina / Saxony-Wettin,,,,???
1521,Manuel I the Fortunate of Portugal,Yes,Yes,,Plague
1525,Isabella Hapsburg,,,Yes,Final Illness; after >1 year of deteriorating health
1534,Barbara / Poland,,,,???
1535,Catherina / Saxe-Lauenburg,,Yes,,Fall
1536,Catherine of Aragon,,,,At the time unknown; today heart cancer; sick for >1 year
1539,Isabella of Portugal,,,,Died in Pregnancy; delicate health for >1 year
1541,Margaret Tudor,,Yes,,Palsy; contemporaries thought she would recover
1544,Anthony II / Buono de Lorraine,,,,???
1545,Elizabeth Hapsburg,,,,Final Illness; after >1 year of deteriorating health
1547,Francis I of France/de Valois/,Yes,,Yes,Final Illness; after >1 year of deteriorating health
1547,Albert V von Meckleburg-Schwerin,,,,Old Unremarkable
1554,Joao / Portugal,,,,"Tuberculosis; Ill health througout life, possibly diabetes"
1555,Elizabeth Oldenburg,,,,Old Unremarkable
1558,Charles V of Spain/Habsburg/,Yes,,,Malaria; had suffered from severe gout for several years 
1560,Francis II / France de Valois,Yes,Yes,Yes,Ear Condition (Mastoiditis?) after a few months of illness
1567,Anna Hohenzollern,,,,???
1568,Elizabeth de France,,Yes,,During Childbirth
1571,Joachim II Hector / Hohenzollern,Yes,,,Old Unremarkable
1573,Joana Hapsburg,,,,???
1574,Charles IX / France de Valois,Yes,,Yes,Tuberculosis; health declined >2 years earlier after perpetrating the St. Bartholomew's Day Massacre
1580,Anne of Austria/Habsburg/,,Yes,,Unspecified Illness
1582,Elizabeth of Hesse,,,,???
1585,Anna of Denmark-Oldenburg,,,,Final Illness; after >1 year of deteriorating health
1592,John III / Sweden Vasa,Yes,,Yes,???
1598,John George / Bradenburg Hohenzollern,Yes,,,???
1610,Henry IV of France de Bourbon ,Yes,,,Assassination
1611,Christian II / Saxony /Wettin,Yes,,,???
1611,Margaret of Austria / Habsburg,,Yes,,During Childbirth
1612,Anne Catherine / Hohenzollern,,,,???
1616,Johann Adolf /von Holstein-Gottorp/,,,,???
1619,Anne / Denmark / Oldenburg,,,,Dropsy after 2 years of illness
1625,James I Stuart,Yes,,,Stroke; Sickly in last >1 year of life
1631,Constance of Austria Hapsburg,,Yes,Yes,Stroke
