War Num (Hard),War Names (Wright War Name Listed First If Available),State 1 Name,State 1 ID,State 2 Name,State 2 ID,Year,Month of Beginning,Month of Ending,Wright's aggressor,Wright's aggressor 2,Wright's aggressor 3,Wright's aggressor 4,Wright's aggressor 5,Wright's aggressor 6,Wright's type [(B)alance of Power; <C>ivil; (D)efensive; (I)mperial ],Wright's # of battles,HRE_Fractured,GC_Fractured,NGC_Fractured,Spanish_Alliance_Fractured,Austrian_Alliance_Fractured ,"Dyad is Wright Unmodified [1 means it does not, 1-D means it does not (but other potential Wright dyads were deleted); 1-M means that one of the participatns was listed by Wright as being in the war, but a minor state not covered by Wright was added; and M means the war or war phase was missed by Wright; 1-S means the dyad is in Wright, but sides in the conflict differ from his text due to a country changing sides or a clear error. Compound wars are too complex to code solely using Wright. ]",Wright Modification,Citation,Note
1,1st Balkan War,Principality of Bulgaria/Kingdom of Bulgaria,248,Principality of Serbia/Kingdom of Serbia,220,1912,,,220,240,250,248,,,B,13,,,,,,1,,"War 163-166, Langer 802",
1,1st Balkan War,Principality of Bulgaria/Kingdom of Bulgaria,248,Kingdom of Greece,240,1912,,,220,240,250,248,,,B,15,,,,,,1,,"War 163-166, Langer 802",
1,1st Balkan War,Principality of Bulgaria/Kingdom of Bulgaria,248,Principality of Montenegro/Kingdom of Montenegro,250,1912,,,220,240,250,248,,,B,17,,,,,,1,,"War 163-166, Langer 802",
1,1st Balkan War,Principality of Bulgaria/Kingdom of Bulgaria,248,Principality of Serbia/Kingdom of Serbia,220,1913,,,220,240,250,248,,,B,14,,,,,,1,,"War 163-166, Langer 802",
1,1st Balkan War,Principality of Bulgaria/Kingdom of Bulgaria,248,Kingdom of Greece,240,1913,,,220,240,250,248,,,B,16,,,,,,1,,"War 163-166, Langer 802",
1,1st Balkan War,Principality of Bulgaria/Kingdom of Bulgaria,248,Principality of Montenegro/Kingdom of Montenegro,250,1913,,,220,240,250,248,,,B,18,,,,,,1,,"War 163-166, Langer 802",
2,1st Huegenot War/ First War of Religion,England ,177,France,304,1562,3,,177,,,,,,C,1,,,,,,1,,War P. 929,War P. 929 English aid to Huegenot included over 3000 ground troops; Levy has the war lasting an extra year
2,1st Huegenot War/ First War of Religion,England ,177,France,304,1563,,3,177,,,,,,C,1,,,,,,1,,War P. 929,War P. 929 English aid to Huegenot included over 3000 ground troops; Levy has the war lasting an extra year
3,1st War Against Charles the 5th - Navarreese Campaign,Spain -- Crown of Aragon,375,Kingdom of Navarre,291,1521,,,,,,,,,,,,,,,,M,Non-Wright Minor State Added,Brecke Entry 713,"Serious Attempt to regain Iberian Navarre. Part of 1st War against Charles the Vth, which had major diplomatic implications for all these countries so it is definitely eligible. Navarre is not in the Wright data, so there is no disagreement with him in adding them. "
3,1st War Against Charles the 5th - Navarreese Campaign,Spain -- Crown of Aragon,375,Kingdom of Navarre,291,1522,,,,,,,,,,,,,,,,M,Non-Wright Minor State Added,Brecke Entry 713,"Serious Attempt to regain Iberian Navarre. Part of 1st War against Charles the Vth, which had major diplomatic implications for all these countries so it is definitely eligible. Navarre is not in the Wright data, so there is no disagreement with him in adding them. "
3,1st War Against Charles the 5th - Navarreese Campaign,Spain -- Crown of Aragon,375,Kingdom of Navarre,291,1523,,,,,,,,,,,,,,,,M,Non-Wright Minor State Added,Brecke Entry 713,"Serious Attempt to regain Iberian Navarre. Part of 1st War against Charles the Vth, which had major diplomatic implications for all these countries so it is definitely eligible. Navarre is not in the Wright data, so there is no disagreement with him in adding them. "
3,1st War Against Charles the 5th - Navarreese Campaign,Spain -- Crown of Aragon,375,Kingdom of Navarre,291,1524,,,,,,,,,,,,,,,,M,Non-Wright Minor State Added,Brecke Entry 713,"Serious Attempt to regain Iberian Navarre. Part of 1st War against Charles the Vth, which had major diplomatic implications for all these countries so it is definitely eligible. Navarre is not in the Wright data, so there is no disagreement with him in adding them. "
3,1st War Against Charles the 5th - Navarreese Campaign,Spain -- Crown of Aragon,375,Kingdom of Navarre,291,1525,,,,,,,,,,,,,,,,M,Non-Wright Minor State Added,Brecke Entry 713,"Serious Attempt to regain Iberian Navarre. Part of 1st War against Charles the Vth, which had major diplomatic implications for all these countries so it is definitely eligible. Navarre is not in the Wright data, so there is no disagreement with him in adding them. "
