Person ID,Name,Birth Year,Death Year,Coronation Year,Title
1,Victoria  /Hanover/,1819,1901,1838,Queen of Britain
2,Albert Augustus /Saxe-Coburg-Gotha/,1819,1861,,Prince Saxe-Coburg-Gotha
3,Victoria Adelaide Mary/Wettin/,1840,1901,1841,Princess Royal
4,Edward VII /Wettin/,1841,1910,1902,King of Britain
5,Alice Maud Mary/Wettin/,1843,1878,,Princess
6,Alfred Ernest Albert/Wettin/,1844,1900,1866,Duke of Edinburgh
7,Helena Augusta Victoria/Wettin/,1846,1923,,Princess
8,Louise Caroline Alberta/Wettin/,1848,1939,,Princess
9,Arthur William Patrick/Wettin/,1850,1942,1874,Duke Connaught&Strathearn
10,Leopold George Duncan Albert/Wettin/,1853,1884,1881,Duke of Albany
11,Beatrice Mary Victoria Feodora/Wettin/,1857,1944,,Princess
12,"Alexandra of Denmark ""Alix""/Schleswig/",1844,1925,1902,Princess
13,Albert Victor Christian/Wettin/,1864,1892,1890,Duke of Clarence
14,George V /Windsor/,1865,1936,1911,King of Britain
15,Louise Victoria Alexandra/Windsor/,1867,1931,1905,Princess Royal
16,Victoria Alexandra Olga Mary/Windsor/,1868,1935,,Princess
17,Maud Charlotte Mary Victoria/Windsor/,1869,1938,,Princess
18,John Alexander /Wettin/,1871,1871,,Prince
19,George II Victor of/Waldeck-Pyrmont/,1831,1893,,Prince of Waldeck&Pyrmont
20,Frederick III of Germany/Hohenzollern/,1831,1888,1888,German Emperor
21,William II of Germany/Hohenzollern/,1859,1941,1888,German Emperor. Kaiser
22,Louis IV /von Hessen-Darmstadt/,1837,1892,1877,Grand Duke of Hesse
23,Helena Frederica of/Waldeck-Pyrmont/,1861,1922,,Princess
24,Alice Mary Victoria of Albany/Wettin/,1883,1981,,Princess
25,Henry Maurice /von Battenberg/,1858,1896,,Prince of Battenberg
26,Alexander of Carisbrooke/Mountbatten/,1886,1960,1917,Marquess of Carisbrooke
27,"Victoria Eugenie ""Ena""/von Battenburg/",1887,1969,,Queen of Spain
28,Leopold Arthur Louis/Mountbatten/,1889,1922,1917,Lord Mountbatten
29,Maurice Victor Donald/von Battenberg/,1891,1914,,Prince
30,Mary (May) /von Teck/,1867,1953,1911,Queen of Britain
31,Edward VIII /Windsor/,1894,1972,1936,King of Britain
32,George VI (Albert)/Windsor/,1895,1952,1937,King of Britain
33,Victoria Alexandra Alice Mary/Windsor/,1897,1965,1932,Princess Royal
34,Henry William Frederick/Windsor/,1900,1974,1928,Duke of Gloucester 1st
35,George Edward Alexander/Windsor/,1902,1942,1934,Duke of Kent 1st
36,John Charles Francis/Windsor/,1905,1919,,Prince
37,Nicholas II Alexandrovich/Romanov/,1868,1918,1894,Tsar of Russia
38,Victoria Alberta /von Hessen/,1863,1950,,Princess of Hesse
39,"Alexandra Fedorovna ""Alix""/von Hessen/",1872,1918,,Tsarina
40,Alexander III Alexandrovich/Romanov/,1845,1894,1881,Tsar of Russia
41,"Dagmar ""Marie"" /Schleswig-Holstein/",1847,1928,,Tsarina
42,Nicholas I Pavlovich/Romanov/,1796,1855,1825,Tsar of Russia
43,Alexandra (Charlotte) /Hohenzollern/,1798,1860,,Princess of Prussia
44,Alexander II Nicholoevich/Romanov/,1818,1881,1885,Tsar of Russia
45,Marie of /Hesse-Darmstadt/,1824,1880,,Princess
46,Olga Nicholovna /Romanov/,1895,1918,,Grand Duchess
47,Tatiana Nicholovna /Romanov/,1897,1918,,Grand Duchess
48,Maria Nicholovna /Romanov/,1899,1918,,Grand Duchess
49,Anastasia Nicholovna /Romanov/,1901,1918,,Grand Duchess
50,Alexis Nicolaievich /Romanov/,1904,1918,,Tsarevich
51,Elizabeth Angela Marguerite/Bowes-Lyon/,1900,2002,1937,Queen of Britain
52,Elizabeth II Alexandra Mary/Windsor/,1926,1953,,Queen of Britain
53,Margaret Rose /Windsor/,1930,2002,,Princess
54,Anthony Charles Robert/Armstrong-Jones/,1930,1961,,Earl of Snowdon 1st
55,David Albert Charles/Armstrong-Jones/,1961,Viscount Linley,
56,Sarah Frances Elizabeth/Armstrong-Jones/,1964,Lady,
57,Philip  /Mountbatten/,1921,1947,,Prince Duke of Edinburgh
58,Charles Philip Arthur George/Windsor/,1948,1969,,Prince of Wales
59,Anne Elizabeth Alice Louise/Windsor/,1950,1987,,Princess Royal
60,Andrew Albert Christian Edward/Windsor/,1960,1986,,Duke of York
61,Edward Anthony Richard/Windsor/,1964,1999,,Earl of Wessex
62,Mark Anthony Peter/Phillips/,1948,Captain,
63,Peter Mark Andrew/Phillips/,1977,,
64,Zara Anne Elizabeth/Phillips/,1981,,
65,Diana Frances /Spencer/,1961,1997,1981,Princess of Wales
66,Marina  /Schleswig-Holstein-Sonderburg/,1906,1968,,Princess of Greec&Denmark
67,Edward George Nicholas/Windsor/,1935,1942,,Duke of Kent 2nd
68,Henry George Charles/Lascelles/,1882,1947,1929,Earl of Harewood 6th
69,Alice Christabel /Montagu-Douglas-Scott/,1901,2004,,Princess
70,Bessie Wallis /Warfield/,1896,1986,,
71,Charles Haakon VII of Norway/Gl\x81cksburg/,1872,1957,1905,King of Norway
72,Henry of Prussia/Hohenzollern/,1862,1929,,Prince Grand Admiral
73,Sigismund  /Hohenzollern/,1864,1866,,Prince of Prussia
74,Victoria  /Hohenzollern/,1866,1929,,Princess of Prussia
75,Waldemar  /Hohenzollern/,1868,1879,,Prince of Prussia
76,Sophie Dorothea Ulrica/Hohenzollern/,1870,1932,,Queen of Greece
77,Charlotte of Saxe-Meiningen/Hohenzollern/,1860,1919,,Duchess
78,Margaret Beatrice Feodora/Hohenzollern/,1872,1954,,Princess of Prussia
79,Irene Marie Louise Anna of/Hesse/,1866,1953,,Princess
80,Waldemar  /Hohenzollern/,1889,1945,,Prince of Prussia
81,Henry Victor Louis/Hohenzollern/,1900,1904,,Prince of Prussia
82,Sigismund  /Hohenzollern/,1896,1978,,Prince of Prussia
83,Ernest Louis /von Hessen-Darmstadt/,1868,1937,1892,Grand Duke of Hesse
84,"Elizabeth ""Ella"" /von Hessen/",1864,1918,,Grand Duchess
85,"Marie Victoria Feodore ""May""/von Hessen/",1874,1878,,
86,Frederick  /von Hessen/,1870,1873,,
87,William Henry Andrew/Windsor/,1941,1972,,Prince of Gloucester
88,Richard Alexander Walter/Windsor/,1944,1974,,Duke of Gloucester 2nd
89,Birgitte Eva of Denmark/von Deurs/,1946,Duchess,
90,Alexander Patrick Gregers/Windsor/,1974,Earl of Ulster,
91,Earl Winfield /Spencer/,1888,1950,,Jr.
92,Ernest Aldrich /Simpson/,1897,1958,,
93,Frances Burke Ruth/Roche/,1936,2004,,Hon.
94,Marie Alexandrovna /Romanov/,1853,1920,,Grand Duchess of Russia
95,Alfred Alexander William Ernest/Wettin/,1874,1899,,Prince of Saxe-Coburg
96,Marie of Saxe-Coburg-Gotha/Wettin/,1875,1938,,Queen of Romania
97,Victoria Melita of Edinburgh/Wettin/,1876,1936,,Grand Duchess
98,Alexandra Louise Olga Victoria/Wettin/,1878,1942,,Princess
99,Beatrice Leopoldine Victoria/Wettin/,1884,1966,,Princess
100,Louis  /von Battenberg/,1854,1921,1917,Prince of Battenberg
101,Alice of /Battenberg/,1885,1969,,Princess
102,George  /Mountbatten/,1892,1938,1921,Marquess of Milford hav 2
103,Louis of Burma/Mountbatten/,1900,1979,1947,Earl Mountbatten of Burma
104,Andrew  /Schleswig-Holstein-Sonderburg/,1882,1944,,Prince of Greece&Denmark
105,Alexander William George/Duff/,1849,1912,1900,Duke of Fife 1st
106,Alexandra Helen Elizabeth Olga/Windsor/,1936,1936,,Princess of Kent
107,Michael George Charles Franklin/Windsor/,1942,1942,,Prince of Kent
108,Angus James Bruce/Ogilvy/,1928,2004,,Rt.Hon. Sir
109,James Robert Bruce/Ogilvy/,1964,,
110,Marina Victoria Alexandra/Ogilvy/,1966,,
111,Katherine Lucy Mary/Worsley/,1933,1961,,Duchess of Kent
112,George Philip of St. Andrews/Windsor/,1962,Earl of St. Andrews,
113,Helen Marina Lucy/Windsor/,1964,Lady,
114,Nicholas Charles Edward/Windsor/,1970,Lord,
115,William Arthur Philip Louis/Windsor/,1982,1982,,Prince of Wales
116,Henry Charles Albert David/Windsor/,1984,Prince of Wales,
117,F Christian /von Schleswig-Holstein/,1831,1917,,Prince Schleswig-Holstein
118,Marie Louise /von Schleswig-Holstein/,1872,1956,,Princess
119,Aribert Joseph Alexander/von Anhalt/,1864,1933,,Prince of Anhalt
120,Louise Margaret of Prussia/Hohenzollern/,1860,1917,,Duchess of Clarence
121,Margaret Victoria of Sweden/Wettin/,1882,1920,,Crown Princess
122,Arthur Frederick of Connaught/Wettin/,1883,1938,,
123,Victoria Patricia Helen/Wettin/,1886,1974,,Lady Ramsay
124,Gustav VI Adolf of Sweden/Bernadotte/,1882,1973,1950,King of Sweden
125,Alexandra Victoria Alberta Edwina/Duff/,1891,1959,1912,Duchess of Fife
126,Alexander Robert Maule/Ramsay/,1881,1972,,Admiral Hon.Sir
127,Isabella  /de France/,1292,1358,,
